2022-07-05 19:07:749 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 19:07:491 INFO  HomePage :34 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (d77dfcefa17dc7cea42c7c074db25c33)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 19:07:637 INFO  HomePage :40 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (d77dfcefa17dc7cea42c7c074db25c33)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 19:07:831 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 19:07:258 INFO  HomePage :34 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (da952b09bfc578872fa12a46bcab303b)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 19:07:482 INFO  HomePage :40 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (da952b09bfc578872fa12a46bcab303b)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 19:07:191 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 19:07:103 INFO  HomePage :38 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (7e5d2de079ca4bcb00dacbd7a4735565)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 19:07:572 WARN  HashedWheelTimer :672 - An exception was thrown by TimerTask.
java.lang.IllegalStateException: cannot be started once stopped
	at io.netty.util.HashedWheelTimer.start(HashedWheelTimer.java:338)
	at io.netty.util.HashedWheelTimer.newTimeout(HashedWheelTimer.java:413)
	at org.asynchttpclient.netty.channel.DefaultChannelPool.scheduleNewIdleChannelDetector(DefaultChannelPool.java:95)
	at org.asynchttpclient.netty.channel.DefaultChannelPool.access$900(DefaultChannelPool.java:43)
	at org.asynchttpclient.netty.channel.DefaultChannelPool$IdleChannelDetector.run(DefaultChannelPool.java:378)
	at io.netty.util.HashedWheelTimer$HashedWheelTimeout.expire(HashedWheelTimer.java:669)
	at io.netty.util.HashedWheelTimer$HashedWheelBucket.expireTimeouts(HashedWheelTimer.java:744)
	at io.netty.util.HashedWheelTimer$Worker.run(HashedWheelTimer.java:469)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:748)
2022-07-05 20:07:952 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 20:07:767 INFO  HomePage :38 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (0add28a155263f37a95f8f442bbfedd4)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 20:07:912 INFO  HomePage :44 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (0add28a155263f37a95f8f442bbfedd4)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 20:07:87 INFO  HomePage :50 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (0add28a155263f37a95f8f442bbfedd4)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 20:07:715 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 20:07:54 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (bdccfef8140d958f47247acf9a6d8ab4)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 20:07:226 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (bdccfef8140d958f47247acf9a6d8ab4)] -> xpath: //div[@class='Select_select__24c5n']]
